record_id,Deductions_Table,Earnings_Table
APPELF__4401-000000009041410-44012901_&I100PYSTB_20191017172943_19800261-09041410-44012901-001_3_.pdf_0,0.6666666666666666,0.0
APPELF__4403-000000009032230-44032751_&I100PYSTB_20191002210824_19800264-09032230-44032751-001_5_.pdf_0,0.25,0.0
APPELF__4403-000000009032510-44032781_&I100PYSTB_20191007192042_19800264-09032510-44032781-002_29_.pdf_0,0.0,0.4666666666666667
APPELF__4403-000000009032510-44032781_&I100PYSTB_20191008213413_19800264-09032510-44032781-219_22_.pdf_0,0.4666666666666667,0.0
APPELF__4406-000000009031960-44062871_&I100PYSTB_20191014092954_20800014-09031960-44062871-001_39_.pdf_0,0.0,0.3333333333333333
APPELF__4413-000000009042140-44132911_&I100PYSTB_20191020220640_20800071-09042140-44132911-001_1_.pdf_0,0.42424242424242425,0.3142857142857143
APPELF__4416-000000009047200-44162811_&I100PYSTB_20191009083422_20800206-09047200-44162811-001_24_.pdf_0,0.2,0.2
APPELF__4416-000000009050610-44163011_&I100PYSTB_20191030104809_20800206-09050610-44163011-001_20_.pdf_0,0.36363636363636365,0.5333333333333333
APPELF__4417-000000009056410-44172951_&I100PYSTB_20191023090427_20800261-09056410-44172951-001_3_.pdf_0,0.14285714285714285,0.5
APPELF__4420-000000009046820-44202951_&I100PYSTB_20191022130825_20800547-09046820-44202951-001_20_.pdf_0,0.696969696969697,0.4666666666666667
APPELF__4421-000000009066120-44212971_&I100PYSTB_20191025053503_20800579-09066120-44212971-001_5_.pdf_0,0.14285714285714285,0.4666666666666667
APPELF__4423-000000009044260-44232911_&I100PYSTB_20191018120913_20800724-09044260-44232911-001_23_.pdf_0,0.4666666666666667,0.6
APPELF__4424-000000009051040-44242741_&I100PYSTB_20191001084422_20800777-09051040-44242741-001_31_.pdf_0,0.045454545454545456,0.4666666666666667
APPELF__4428-000000009077070-44282891_&I100PYSTB_20191016111607_22800018-09077070-44282891-001_19_.pdf_0,0.7222222222222222,0.5333333333333333
APPELF__4428-000000009079000-44282951_&I100PYSTB_20191024083433_22800018-09079000-44282951-001_17_.pdf_0,0.25,0.45714285714285713
APPELF__4429-000000009051980-44292871_&I100PYSTB_20191015175650_22800019-09051980-44292871-002_4_.pdf_0,0.0,0.1
APPELF__4429-000000009051980-44292871_&I100PYSTB_20191015175650_22800019-09051980-44292871-003_6_.pdf_0,0.0,0.0
APPELF__4437-000000009021320-44372751_&I100PYSTB_20191002200958_22800033-09021320-44372751-001_4_.pdf_0,0.0,0.5
